Time [ms],Thrust [N],Torque [Nm]
0,0.00,0.0001
1,-0.00,0.0003
88,-0.00,0.0001
185,-0.00,0.0000
282,-0.00,0.0002
379,-0.00,0.0002
476,-0.01,-0.0002
573,-0.00,-0.0004
670,-0.00,-0.0000
767,-0.00,0.0000
863,-0.00,-0.0000
961,-0.00,0.0000
1058,-0.00,0.0001
1155,-0.00,0.0002
1252,-0.00,0.0002
1349,-0.01,0.0005
1446,-0.01,0.0006
1543,-0.00,0.0003
1640,-0.00,0.0001
1737,-0.00,-0.0000
1834,-0.01,0.0001
1930,-0.01,0.0003
2028,-0.01,0.0003
2125,-0.00,0.0002
2222,-0.00,0.0003
2319,-0.00,-0.0001
2416,-0.00,-0.0003
2513,0.00,-0.0001
2609,-0.00,0.0002
2707,-0.01,0.0001
2804,-0.00,-0.0002
2901,-0.00,-0.0005
2998,0.00,-0.0004
3095,-0.00,-0.0001
3192,-0.00,0.0000
3288,0.00,-0.0000
3386,0.00,-0.0003
3483,-0.00,-0.0002
3580,-0.00,-0.0001
3676,0.00,0.0002
3774,0.00,0.0001
3871,-0.00,-0.0002
3967,-0.00,-0.0000
4065,0.00,-0.0001
4162,-0.00,0.0002
4259,-0.01,0.0004
4355,-0.01,0.0003
4453,0.00,-0.0001
4550,-0.00,0.0000
4646,-0.01,0.0002
4743,-0.01,0.0002
4841,-0.00,-0.0000
4938,0.00,-0.0002
5034,0.00,0.0000
5132,-0.00,-0.0001
5229,-0.01,0.0003
5325,-0.01,0.0000
5422,-0.01,-0.0002
5520,0.00,-0.0002
5617,-0.00,0.0000
5713,-0.01,-0.0002
5810,-0.01,-0.0004
5908,-0.01,-0.0003
6004,-0.00,-0.0002
6101,-0.00,0.0001
6199,0.00,0.0001
6296,-0.00,-0.0003
6392,-0.00,-0.0002
6489,0.00,-0.0002
6587,-0.00,0.0000
6683,-0.00,-0.0005
6780,-0.00,-0.0005
6877,-0.00,-0.0003
6975,-0.01,-0.0002
7071,-0.00,-0.0001
7168,0.00,-0.0001
7266,-0.00,0.0001
7362,-0.01,0.0000
7459,-0.01,-0.0004
7556,-0.00,-0.0001
7654,-0.00,0.0002
7750,-0.01,0.0000
7847,-0.00,0.0001
7944,-0.00,-0.0000
8041,-0.00,-0.0002
8138,-0.01,-0.0003
8235,-0.01,-0.0005
8333,-0.01,-0.0001
8429,-0.00,-0.0003
8526,-0.00,-0.0004
8623,0.00,-0.0001
8720,0.01,-0.0001
8817,-0.00,-0.0002
8914,-0.00,-0.0002
9011,0.00,0.0002
9108,-0.00,0.0002
9205,-0.00,0.0001
9302,-0.00,0.0003
9399,-0.00,0.0003
9496,-0.00,0.0002
9593,-0.00,-0.0001
9690,-0.01,0.0001
9787,-0.00,0.0002
9884,0.00,-0.0001
9981,-0.01,-0.0003
10077,-0.01,-0.0002
10175,-0.00,0.0002
10272,0.00,0.0002
10369,-0.00,-0.0001
10466,0.00,-0.0002
10563,0.00,-0.0002
10660,-0.00,-0.0004
10756,-0.01,-0.0003
10854,-0.00,-0.0002
10951,-0.00,-0.0002
11048,-0.00,-0.0001
11144,-0.00,0.0000
11242,-0.00,-0.0002
11339,-0.00,-0.0002
11435,-0.01,0.0002
11533,-0.01,0.0002
11630,-0.01,-0.0000
11727,-0.01,0.0000
11823,0.00,-0.0000
11921,0.00,0.0000
12018,-0.00,0.0003
12114,-0.00,-0.0000
12211,-0.00,-0.0003
12309,-0.00,-0.0001
12406,0.00,-0.0001
12502,-0.00,-0.0000
12600,0.00,0.0002
12697,0.00,-0.0002
12793,0.00,0.0001
12890,-0.01,0.0002
12988,-0.01,-0.0000
13085,-0.01,-0.0003
13181,-0.01,-0.0001
13278,-0.00,0.0002
13376,-0.00,0.0002
13472,-0.01,0.0000
13569,-0.01,-0.0001
13667,-0.00,0.0000
13764,-0.00,0.0000
13860,-0.00,-0.0002
13957,-0.00,0.0002
14055,0.00,0.0002
14151,-0.00,-0.0001
14248,-0.00,-0.0001
14345,-0.00,-0.0000
14443,-0.01,-0.0001
14539,-0.01,0.0000
14636,-0.00,-0.0002
14734,-0.00,-0.0005
14830,0.00,-0.0003
14927,-0.00,0.0001
15024,-0.01,0.0001
15122,-0.01,-0.0001
15218,-0.00,-0.0002
15315,-0.00,-0.0001
15412,0.00,0.0001
15509,0.00,0.0003
15606,-0.00,-0.0000
15703,-0.00,-0.0003
15801,-0.01,-0.0006
15897,-0.00,-0.0006
15994,-0.00,-0.0004
16091,-0.01,0.0001
16188,-0.00,-0.0001
16285,-0.00,0.0001
16382,-0.00,0.0005
16479,-0.00,0.0002
16576,-0.00,-0.0000
16673,0.00,-0.0003
16770,-0.00,-0.0002
16867,-0.00,0.0001
16964,-0.00,-0.0004
17061,0.00,-0.0000
17158,-0.00,-0.0003
17255,-0.00,-0.0003
17352,-0.00,-0.0003
17449,-0.00,-0.0006
17545,-0.01,-0.0006
17643,-0.00,-0.0004
17740,-0.00,0.0000
17837,-0.00,0.0002
17934,0.00,0.0001
18031,-0.00,-0.0001
18128,-0.01,-0.0002
18224,-0.00,0.0001
18322,-0.00,0.0000
18419,-0.01,-0.0004
18516,-0.01,-0.0003
18612,-0.01,-0.0001
18710,-0.00,-0.0004
18807,-0.00,-0.0001
18903,-0.00,0.0001
19001,-0.00,0.0002
19098,-0.01,0.0002
19195,-0.00,-0.0001
19291,0.00,-0.0001
19389,-0.00,0.0002
19486,-0.00,0.0001
19582,-0.01,-0.0001
19679,-0.00,-0.0001
19777,-0.00,-0.0000
19874,-0.00,0.0001
19970,-0.00,0.0003
20068,-0.00,0.0004
20165,-0.00,0.0003
20261,-0.00,0.0002
20358,-0.01,-0.0001
20456,0.00,-0.0004
20553,-0.00,-0.0005
20649,-0.01,-0.0141
20746,-0.01,-0.0652
20844,-0.06,-0.0687
20940,-0.25,-0.0570
21037,-0.39,-0.0040
21135,-0.56,0.0363
21232,-0.46,0.0587
21328,-0.23,-0.0047
21425,-0.06,-0.0492
21523,-0.07,-0.0537
21619,-0.07,-0.0553
21716,-0.07,-0.0555
21814,-0.07,-0.0558
21911,-0.07,-0.0559
22007,-0.06,-0.0560
22104,-0.06,-0.0558
22202,-0.07,-0.0561
22298,-0.07,-0.0562
22395,-0.06,-0.0558
22492,-0.06,-0.0555
22590,-0.07,-0.0556
22686,-0.06,-0.0557
22783,-0.06,-0.0557
22881,-0.06,-0.0557
22978,-0.06,-0.0558
23074,-0.06,-0.0557
23171,-0.06,-0.0558
23269,-0.06,-0.0557
23365,-0.06,-0.0555
23462,-0.06,-0.0559
23559,-0.06,-0.0558
23657,-0.06,-0.0557
23753,-0.06,-0.0557
23850,-0.06,-0.0558
23948,-0.06,-0.0557
24044,-0.06,-0.0554
24141,-0.06,-0.0553
24238,-0.06,-0.0555
24336,-0.06,-0.0558
24432,-0.07,-0.0558
24529,-0.07,-0.0556
24626,-0.07,-0.0554
24723,-0.06,-0.0558
24820,-0.06,-0.0554
24917,-0.07,-0.0553
25015,-0.07,-0.0557
25111,-0.06,-0.0558
25208,-0.06,-0.0553
25305,-0.06,-0.0554
25402,-0.06,-0.0557
25499,-0.06,-0.0584
25596,-0.06,-0.1252
25693,-0.07,-0.1944
25790,-0.79,-0.1938
25887,-1.73,-0.2080
25984,-3.47,-0.1402
26081,-5.27,0.0367
26178,-5.38,0.1991
26275,-3.26,0.1388
26372,-0.74,-0.0449
26469,-0.15,-0.1094
26566,-0.25,-0.0770
26663,-0.42,-0.0506
26759,-0.47,-0.0472
26857,-0.48,-0.0513
26954,-0.48,-0.0655
27051,-0.50,-0.0609
27148,-0.56,-0.0534
27245,-0.60,-0.0564
27342,-0.63,-0.0679
27438,-0.71,-0.0612
27536,-0.77,-0.0560
27633,-0.79,-0.0543
27730,-0.81,-0.0532
27826,-0.82,-0.0524
27924,-0.83,-0.0520
28021,-0.84,-0.0514
28117,-0.84,-0.0512
28215,-0.85,-0.0511
28312,-0.85,-0.0510
28409,-0.85,-0.0507
28505,-0.85,-0.0509
28603,-0.85,-0.0509
