Time [ms],Thrust [N],Torque [Nm]
0,0.000,-0.0002
2,0.000,-0.0002
43,-0.003,-0.0002
134,0.005,0.0000
226,0.004,0.0005
317,-0.002,0.0001
408,-0.001,0.0005
500,0.003,0.0003
592,0.002,0.0001
688,0.001,-0.0000
785,0.004,-0.0001
882,0.003,0.0003
980,0.001,0.0003
1077,0.001,0.0002
1175,-0.001,-0.0000
1273,0.001,0.0001
1370,0.001,0.0001
1467,-0.000,-0.0003
1564,-0.000,0.0001
1662,0.001,0.0002
1759,-0.002,0.0001
1856,-0.003,0.0004
1955,-0.001,0.0005
2052,-0.003,0.0004
2149,-0.001,0.0002
2246,0.004,0.0002
2344,0.005,0.0001
2441,0.001,-0.0003
2538,0.003,-0.0001
2636,0.002,-0.0003
2734,0.002,0.0001
2831,0.003,-0.0001
2928,0.002,-0.0004
3026,0.001,-0.0002
3123,0.000,0.0001
3220,-0.002,-0.0004
3318,-0.000,-0.0003
3415,0.004,0.0000
3512,-0.001,0.0002
3610,0.003,-0.0000
3708,0.001,-0.0001
3805,0.005,0.0004
3902,0.004,0.0005
3999,0.000,0.0003
4097,0.002,0.0001
4194,-0.000,0.0002
4291,0.001,0.0005
4390,0.000,0.0004
4487,0.003,0.0006
4584,0.006,0.0008
4681,0.001,0.0006
4779,-0.001,0.0004
4876,0.003,0.0000
4973,0.006,-0.0005
5071,0.005,0.0000
5168,0.004,0.0002
5266,-0.003,-0.0002
5363,-0.004,-0.0001
5461,-0.000,-0.0002
5558,-0.001,-0.0001
5655,0.002,0.0001
5753,0.002,-0.0001
5850,0.004,-0.0001
5947,0.004,-0.0000
6045,0.002,0.0002
6143,-0.000,0.0008
6240,0.000,0.0003
6337,0.002,-0.0004
6435,0.004,-0.0001
6532,0.001,0.0003
6629,-0.003,0.0001
6726,0.000,-0.0003
6825,-0.000,-0.0002
6922,0.000,0.0004
7019,-0.000,0.0004
7117,0.004,0.0002
7214,0.002,0.0000
7311,0.000,-0.0003
7408,-0.001,-0.0004
7506,-0.002,0.0002
7603,0.000,0.0002
7701,-0.001,-0.0003
7799,0.001,-0.0002
7896,0.004,0.0001
7993,0.004,0.0001
8090,-0.003,-0.0001
8188,-0.006,0.0001
8285,0.003,0.0003
8382,0.001,0.0001
8481,0.004,-0.0003
8578,0.001,-0.0005
8675,-0.003,-0.0003
8772,0.003,-0.0002
8870,-0.001,0.0001
8967,0.000,0.0002
9064,0.003,0.0002
9161,0.000,0.0002
9259,0.001,0.0005
9357,-0.000,0.0001
9454,-0.001,0.0002
9552,0.002,0.0002
9649,0.003,-0.0001
9746,0.003,-0.0002
9843,0.000,-0.0003
9941,-0.000,0.0001
10038,-0.000,0.0001
10136,-0.004,0.0000
10234,-0.004,0.0001
10331,-0.004,0.0005
10428,0.000,0.0007
10525,0.005,0.0005
10623,0.004,-0.0002
10720,0.002,-0.0004
10817,-0.001,0.0003
10916,0.000,0.0003
11013,-0.001,0.0001
11110,0.001,0.0001
11207,0.002,-0.0000
11305,0.001,-0.0003
11402,0.004,-0.0002
11499,0.003,-0.0004
11597,0.003,-0.0003
11695,0.005,-0.0001
11792,0.003,0.0000
11889,0.003,-0.0001
11987,0.003,-0.0000
12084,0.002,0.0003
12181,-0.002,0.0001
12279,-0.001,0.0001
12376,-0.001,-0.0001
