# NOTES: test1
Time [ms],Thrust [N],Torque [Nm]
0,-0.002,0.0001
2,-0.005,-0.0000
56,-0.001,0.0002
148,-0.001,0.0003
239,-0.001,0.0002
330,0.004,0.0000
422,0.001,0.0001
513,-0.003,-0.0001
606,-0.004,-0.0002
697,0.002,0.0001
789,0.007,0.0002
882,0.003,0.0004
979,-0.001,0.0000
1077,-0.003,0.0001
1174,0.000,-0.0001
1271,0.001,-0.0001
1369,0.002,-0.0002
1466,0.002,-0.0001
1564,0.001,-0.0001
1661,0.000,-0.0001
1759,0.003,0.0001
1856,0.000,0.0002
1953,-0.003,0.0003
2050,-0.000,0.0001
2148,0.001,-0.0000
2245,0.001,0.0002
2342,-0.001,0.0003
