# NOTES: ccccc
Time [ms],Thrust [N],Torque [Nm]
0,-0.005,0.0001
3,-0.006,-0.0001
14,-0.003,-0.0000
105,-0.004,0.0001
200,-0.004,0.0001
297,-0.001,0.0003
395,0.003,0.0003
492,-0.002,0.0001
589,-0.003,-0.0001
687,0.002,0.0001
785,-0.003,-0.0003
882,-0.003,-0.0001
979,-0.002,0.0002
1077,0.002,0.0004
1174,0.002,-0.0000
1271,-0.003,-0.0001
1369,-0.004,-0.0000
1466,0.000,-0.0001
1564,-0.003,0.0000
1661,-0.003,0.0001
1759,-0.000,0.0003
1856,-0.000,0.0005
1953,0.002,0.0002
2051,0.002,0.0003
2148,0.002,0.0002
2245,0.002,0.0003
2342,-0.001,0.0004
2441,-0.003,0.0003
2538,-0.000,-0.0001
2635,-0.003,-0.0001
2733,-0.001,0.0001
2830,-0.001,0.0001
2927,-0.001,0.0005
3024,0.001,0.0002
3122,0.003,0.0000
3220,0.000,0.0003
3317,-0.003,0.0004
3414,0.001,0.0003
3512,-0.003,0.0003
3609,-0.004,0.0003
3706,0.000,0.0003
3804,-0.000,-0.0000
