# NOTES: elica 12x200000
Time [ms],Thrust [N],Torque [Nm]
0,-0.003,-0.0002
2,0.000,-0.0000
27,0.006,0.0001
118,0.004,0.0006
210,0.001,0.0007
301,0.004,0.0002
395,0.001,0.0003
493,0.001,0.0001
591,0.002,-0.0000
688,0.003,0.0000
785,0.002,0.0001
883,-0.000,0.0004
980,-0.000,0.0002
1077,0.000,-0.0004
1175,-0.001,-0.0005
1272,0.001,-0.0001
1369,0.001,-0.0001
1467,-0.000,0.0001
1565,-0.004,0.0002
1662,-0.005,0.0001
1759,-0.007,-0.0001
1857,-0.001,0.0002
1954,0.002,0.0002
2051,0.002,-0.0002
2148,0.005,-0.0005
2247,0.002,-0.0005
2344,-0.001,-0.0004
2441,0.001,0.0004
2539,-0.001,0.0002
2636,-0.003,-0.0001
2733,-0.002,0.0002
2830,0.004,0.0005
2928,0.002,0.0002
3025,0.005,-0.0004
